sr_no,title,reporter_gender,detail
1,Pakistan reaffirms desire for long-term partnership with AIIB,Unknown/Organization,"Prime Minister Shehbaz Sharif met the AIIB president and discussed long-term cooperation, development priorities, and future investment links."
2,How to Secure Your WhatsApp Account Before You Lose Access,Unknown/Organization,PTA advised users to keep the SIM linked to WhatsApp active and registered so the account does not become inaccessible.
3,Karachi judiciary security affected as police fuel supply suspended,Male,"Karachi's judicial security unit faced pressure after PSO suspended fuel supply because of unpaid dues, raising security concerns."
4,Pakistan mulls over sovereign asset tokenization and the role blockchain infrastructure,Unknown/Organization,Finance officials discussed blockchain-based sovereign debt and digital investment products as part of Pakistan's financial modernization plans.
5,Federal Shariat Court restores Section 325 criminalising suicide attempt,Male,The Federal Shariat Court restored PPC Section 325 and struck down the 2022 amendment that had decriminalised attempted suicide.
6,Saad Edhi among activists detained during Gaza aid mission,Male,Saad Edhi was detained during a Gaza aid flotilla as the humanitarian mission was intercepted and several activists were taken into custody.
7,"US stopped 'Project Freedom' at Pakistan's request, says Marco Rubio",Male,Marco Rubio said the US paused Project Freedom after Pakistan asked for space for diplomacy with Iran.
8,Trump says delaying Iran attack at request of Gulf leaders,Unknown/Organization,Donald Trump said he would hold off on an Iran attack while negotiations continued and Gulf leaders pushed for a deal.
9,Anmol Pinky: Karachi court orders remand proceedings to be held in jail,Male,A Karachi court ordered that remand proceedings for Anmol alias Pinky be held inside jail because of security concerns.
10,'Stranger Things' star Noah Schnapp celebrates graduation with family,Female,Noah Schnapp celebrated graduating from the University of Pennsylvania and shared family moments from the ceremony.
11,"Uber adds to stake in Germany's Delivery Hero, becomes biggest shareholder",Unknown/Organization,"Uber expanded its holding in Delivery Hero to become the largest shareholder, according to company disclosure and Reuters reporting."
12,"As chip industry chases AI, US national labs look to newcomers for supercomputers",Unknown/Organization,US national labs are looking beyond Nvidia and AMD for chip suppliers as AI demand changes the supercomputing market.
